POSITION,BIB,COUNTRY,ATHLETE,MARK,REACTION TIME,GENDER,EVENT,MIXED
1,2571,JAM,Oblique SEVILLE,9.77 PB,0.157,M,100M,0
2,2574,JAM,Kishane THOMPSON,9.82,0.16,M,100M,0
3,3016,USA,Noah LYLES,9.89 SB,0.192,M,100M,0
4,2976,USA,Kenneth BEDNAREK,9.92,0.211,M,100M,0
5,2862,RSA,Gift LEOTLELA,9.95,0.184,M,100M,0
6,2746,NGR,Kayinsola AJAYI,10,0.177,M,100M,0
7,2873,RSA,Akani SIMBINE,10.04,0.162,M,100M,0
,2113,BOT,Letsile TEBOGO,DQ,-0.317,M,100M,0
1,1414,USA,Melissa JEFFERSON-WOODEN,10.61 CR,0.173,F,100M,0
2,1020,JAM,Tina CLAYTON,10.76 PB,0.203,F,100M,0
3,1106,LCA,Julien ALFRED,10.84,0.169,F,100M,0
4,1028,JAM,Shericka JACKSON,10.88 =SB,0.18,F,100M,0
5,1439,USA,Sha'Carri RICHARDSON,10.94 SB,0.178,F,100M,0
6,1024,JAM,Shelly-Ann FRASER-PRYCE,11.03,0.195,F,100M,0
7,690,CIV,Marie-Josée TA LOU-SMITH,11.04,0.202,F,100M,0
8,852,GBR,Dina ASHER-SMITH,11.08,0.186,F,100M,0
1,3016,USA,Noah LYLES,19.52,0.167,M,200M,0
2,2976,USA,Kenneth BEDNAREK,19.58 SB,0.179,M,200M,0
3,2560,JAM,Bryan LEVELL,19.64 PB,0.147,M,200M,0
4,2113,BOT,Letsile TEBOGO,19.65 SB,0.163,M,200M,0
5,2380,GBR,Zharnel HUGHES,19.78 SB,0.126,M,200M,0
6,2258,DOM,Alexander OGANDO,20.01,0.149,M,200M,0
7,3065,ZIM,Tapiwanashe MAKARAWU,20.12,0.136,M,200M,0
8,2853,RSA,Sinesipho DAMBILE,20.23,0.169,M,200M,0
1,1414,USA,Melissa JEFFERSON-WOODEN,21.68 WL,0.17,F,200M,0
2,862,GBR,Amy HUNT,22.14,0.163,F,200M,0
3,1028,JAM,Shericka JACKSON,22.18,0.169,F,200M,0
4,1377,USA,Anavia BATTLE,22.22,0.15,F,200M,0
5,852,GBR,Dina ASHER-SMITH,22.43,0.147,F,200M,0
6,1380,USA,Brittany BROWN,22.54,0.203,F,200M,0
7,690,CIV,Marie-Josée TA LOU-SMITH,22.62,0.166,F,200M,0
8,1423,USA,Mckenzie LONG,22.78,0.197,F,200M,0
,562,BAH,Anthonique STRACHAN,DQ,-0.339,F,200M,0
1,2106,BOT,Busang Collen KEBINATSHIPI,43.53 WL,0.134,M,400M,0
2,2932,TTO,Jereem RICHARDS,43.72 NR,0.145,M,400M,0
3,2108,BOT,Bayapo NDORI,44.20 SB,0.144,M,400M,0
4,2562,JAM,Rusheen MCDONALD,44.28,0.201,M,400M,0
5,2867,RSA,Zakithi NENE,44.55,0.139,M,400M,0
6,2606,JPN,Yuki Joseph NAKAJIMA,44.62,0.201,M,400M,0
7,3029,USA,Jacory PATTERSON,44.7,0.141,M,400M,0
8,2104,BOT,Lee Bhekempilo EPPIE,44.77,0.151,M,400M,0
1,1427,USA,Sydney MCLAUGHLIN-LEVRONE,47.78 CR,0.171,F,400M,0
2,741,DOM,Marileidy PAULINO,47.98 NR,0.183,F,400M,0
3,613,BRN,Salwa Eid NASER,48.19 SB,0.189,F,400M,0
4,1198,POL,Natalia BUKOWIECKA,49.27 SB,0.168,F,400M,0
5,851,GBR,Amber ANNING,49.36 SB,0.175,F,400M,0
6,711,CUB,Roxana GÓMEZ,49.48 NR,0.195,F,400M,0
7,1176,NOR,Henriette JÆGER,49.74,0.148,F,400M,0
8,1035,JAM,Nickisha PRYCE,49.97,0.158,F,400M,0
1,2662,KEN,Emmanuel WANYONYI,1:41.86 CR,,M,800M,0
2,2007,ALG,Djamel SEDJATI,1:41.90 SB,,M,800M,0
3,2147,CAN,Marco AROP,1:41.95 SB,,M,800M,0
4,2491,IRL,Cian MCPHILLIPS,1:42.15 NR,,M,800M,0
5,2271,ESP,Mohamed ATTAOUI,1:42.21 SB,,M,800M,0
6,2363,GBR,Max BURGIN,1:42.29 PB,,M,800M,0
7,2546,JAM,Navasky ANDERSON,1:42.76 NR,,M,800M,0
8,2107,BOT,Tshepiso MASALELA,1:42.77,,M,800M,0
1,1095,KEN,Lilian ODIRA,1:54.62 CR,,F,800M,0
2,863,GBR,Georgia HUNTER BELL,1:54.90 PB,,F,800M,0
3,861,GBR,Keely HODGKINSON,1:54.91,,F,800M,0
4,1093,KEN,Sarah MORAA,1:55.74 PB,,F,800M,0
5,1409,USA,Sage HURTA-KLECKER,1:55.89 PB,,F,800M,0
6,1309,SUI,Audrey WERRO,1:56.17,,F,800M,0
7,1092,KEN,Mary MORAA,1:57.10 SB,,F,800M,0
8,530,AUS,Jessica HULL,1:57.30,,F,800M,0
1,2820,POR,Isaac NADER,3:34.10,,M,1500M,0
2,2391,GBR,Jake WIGHTMAN,3:34.12,,M,1500M,0
3,2628,KEN,Reynold CHERUIYOT,3:34.25,,M,1500M,0
4,2629,KEN,Timothy CHERUIYOT,3:34.50,,M,1500M,0
5,2736,NED,Niels LAROS,3:34.52,,M,1500M,0
6,2408,GER,Robert FARKEN,3:35.15,,M,1500M,0
7,2530,ITA,Federico RIVA,3:35.33,,M,1500M,0
8,2273,ESP,Adrián BEN,3:35.38,,M,1500M,0
9,2876,RSA,Tshepo TSHITE,3:35.50,,M,1500M,0
10,2376,GBR,Neil GOURLEY,3:35.56,,M,1500M,0
11,2923,SWE,Samuel PIHLSTRÖM,3:35.74,,M,1500M,0
12,2480,IRL,Andrew COSCORAN,3:35.87,,M,1500M,0
13,3011,USA,Jonah KOECH,3:37.00,,M,1500M,0
14,2381,GBR,Josh KERR,4:11.23,,M,1500M,0
1,1088,KEN,Faith KIPYEGON,3:52.15,,F,1500M,0
2,1083,KEN,Dorcus EWOI,3:54.92 PB,,F,1500M,0
3,530,AUS,Jessica HULL,3:55.16,,F,1500M,0
4,1078,KEN,Nelly CHEPCHIRCHIR,3:55.25 PB,,F,1500M,0
5,1405,USA,Nikki HILTZ,3:57.08,,F,1500M,0
6,788,ETH,Freweyni HAILU,3:57.33,,F,1500M,0
7,1204,POL,Klaudia KAZIMIERSKA,3:57.95 PB,,F,1500M,0
8,839,FRA,Sarah MADELEINE,3:58.09 PB,,F,1500M,0
9,768,ESP,Marta PÉREZ,3:58.54 SB,,F,1500M,0
10,955,IRL,Sarah HEALY,3:59.14,,F,1500M,0
