"POSITION","BIB","COUNTRY","ATHELTE","MARK","REACTION.TIME","GENDER","EVENT","MIXED","EventGroup"
1,"2571","Jamaica","Oblique SEVILLE","9.77 PB",0.157,"M","100M",0,"Running"
2,"2574","Jamaica","Kishane THOMPSON","9.82",0.16,"M","100M",0,"Running"
3,"3016","United States","Noah LYLES","9.89 SB",0.192,"M","100M",0,"Running"
4,"2976","United States","Kenneth BEDNAREK","9.92",0.211,"M","100M",0,"Running"
5,"2862","South Africa","Gift LEOTLELA","9.95",0.184,"M","100M",0,"Running"
6,"2746","Nigeria","Kayinsola AJAYI","10",0.177,"M","100M",0,"Running"
7,"2873","South Africa","Akani SIMBINE","10.04",0.162,"M","100M",0,"Running"
NA,"2113","Botswana","Letsile TEBOGO","DQ",-0.317,"M","100M",0,"Running"
1,"1414","United States","Melissa JEFFERSON-WOODEN","10.61 CR",0.173,"F","100M",0,"Running"
2,"1020","Jamaica","Tina CLAYTON","10.76 PB",0.203,"F","100M",0,"Running"
3,"1106","St. Lucia","Julien ALFRED","10.84",0.169,"F","100M",0,"Running"
4,"1028","Jamaica","Shericka JACKSON","10.88 =SB",0.18,"F","100M",0,"Running"
5,"1439","United States","Sha'Carri RICHARDSON","10.94 SB",0.178,"F","100M",0,"Running"
6,"1024","Jamaica","Shelly-Ann FRASER-PRYCE","11.03",0.195,"F","100M",0,"Running"
7,"690","Côte d’Ivoire","Marie-Josée TA LOU-SMITH","11.04",0.202,"F","100M",0,"Running"
8,"852","United Kingdom","Dina ASHER-SMITH","11.08",0.186,"F","100M",0,"Running"
1,"3016","United States","Noah LYLES","19.52",0.167,"M","200M",0,"Running"
2,"2976","United States","Kenneth BEDNAREK","19.58 SB",0.179,"M","200M",0,"Running"
3,"2560","Jamaica","Bryan LEVELL","19.64 PB",0.147,"M","200M",0,"Running"
4,"2113","Botswana","Letsile TEBOGO","19.65 SB",0.163,"M","200M",0,"Running"
5,"2380","United Kingdom","Zharnel HUGHES","19.78 SB",0.126,"M","200M",0,"Running"
6,"2258","Dominican Republic","Alexander OGANDO","20.01",0.149,"M","200M",0,"Running"
7,"3065","Zimbabwe","Tapiwanashe MAKARAWU","20.12",0.136,"M","200M",0,"Running"
8,"2853","South Africa","Sinesipho DAMBILE","20.23",0.169,"M","200M",0,"Running"
1,"1414","United States","Melissa JEFFERSON-WOODEN","21.68 WL",0.17,"F","200M",0,"Running"
2,"862","United Kingdom","Amy HUNT","22.14",0.163,"F","200M",0,"Running"
3,"1028","Jamaica","Shericka JACKSON","22.18",0.169,"F","200M",0,"Running"
4,"1377","United States","Anavia BATTLE","22.22",0.15,"F","200M",0,"Running"
